4/22 10:44:47  step===2000, Epoch 4/1000, accuracy = 0.000,avg_train_cost = 25.100, lastbatch_err = 0.921, time = 146.568,lr=0.00980100
4/22 11:7:43  step===3000, Epoch 10/1000, accuracy = 0.000,avg_train_cost = 24.109, lastbatch_err = 0.860, time = 158.663,lr=0.00970299
4/22 11:46:51  step===4000, Epoch 1/1000, accuracy = 0.039,avg_train_cost = 23.427, lastbatch_err = 0.809, time = 147.624,lr=0.00960596
4/22 12:9:49  step===5000, Epoch 7/1000, accuracy = 0.059,avg_train_cost = 21.325, lastbatch_err = 0.707, time = 154.125,lr=0.00950990
4/22 12:33:14  step===6000, Epoch 13/1000, accuracy = 0.510,avg_train_cost = 12.184, lastbatch_err = 0.234, time = 168.954,lr=0.00941480
4/22 12:56:33  step===7000, Epoch 19/1000, accuracy = 0.608,avg_train_cost = 8.710, lastbatch_err = 0.146, time = 182.249,lr=0.00932065
4/22 13:19:51  step===8000, Epoch 25/1000, accuracy = 0.667,avg_train_cost = 6.223, lastbatch_err = 0.151, time = 196.845,lr=0.00922745
4/22 13:43:9  step===9000, Epoch 31/1000, accuracy = 0.765,avg_train_cost = 4.105, lastbatch_err = 0.059, time = 210.162,lr=0.00913517
4/22 14:6:26  step===10000, Epoch 37/1000, accuracy = 0.843,avg_train_cost = 2.756, lastbatch_err = 0.036, time = 224.317,lr=0.00904382
4/22 14:29:47  step===11000, Epoch 44/1000, accuracy = 0.804,avg_train_cost = 1.625, lastbatch_err = 0.038, time = 7.893,lr=0.00895338
4/22 14:52:58  step===12000, Epoch 50/1000, accuracy = 0.980,avg_train_cost = 0.632, lastbatch_err = 0.003, time = 21.498,lr=0.00886385
4/22 15:16:12  step===13000, Epoch 56/1000, accuracy = 1.000,avg_train_cost = 0.150, lastbatch_err = 0.000, time = 35.649,lr=0.00877521
4/22 15:39:30  step===14000, Epoch 62/1000, accuracy = 1.000,avg_train_cost = 0.074, lastbatch_err = 0.000, time = 49.662,lr=0.00868746
4/22 16:2:37  step===15000, Epoch 68/1000, accuracy = 1.000,avg_train_cost = 0.041, lastbatch_err = 0.000, time = 63.707,lr=0.00860058
4/22 16:25:57  step===16000, Epoch 74/1000, accuracy = 1.000,avg_train_cost = 0.034, lastbatch_err = 0.000, time = 77.418,lr=0.00851458
4/23 4:7:47  step===17000, Epoch 3/1000, accuracy = 1.000,avg_train_cost = 0.030, lastbatch_err = 0.000, time = 98.258,lr=0.00842943
4/23 4:30:47  step===18000, Epoch 9/1000, accuracy = 1.000,avg_train_cost = 0.023, lastbatch_err = 0.000, time = 110.618,lr=0.00834514
4/23 4:53:51  step===19000, Epoch 15/1000, accuracy = 1.000,avg_train_cost = 0.019, lastbatch_err = 0.000, time = 125.131,lr=0.00826169
4/23 5:16:53  step===20000, Epoch 21/1000, accuracy = 1.000,avg_train_cost = 0.020, lastbatch_err = 0.000, time = 138.462,lr=0.00817907
4/23 5:39:52  step===21000, Epoch 27/1000, accuracy = 1.000,avg_train_cost = 0.018, lastbatch_err = 0.000, time = 152.223,lr=0.00809728
4/23 6:2:53  step===22000, Epoch 33/1000, accuracy = 1.000,avg_train_cost = 0.015, lastbatch_err = 0.000, time = 166.746,lr=0.00801631
4/23 6:25:59  step===23000, Epoch 39/1000, accuracy = 1.000,avg_train_cost = 0.014, lastbatch_err = 0.000, time = 180.955,lr=0.00793614
4/23 6:49:7  step===24000, Epoch 45/1000, accuracy = 1.000,avg_train_cost = 0.012, lastbatch_err = 0.000, time = 194.889,lr=0.00785678
4/23 9:35:26  step===24550, Epoch 1/1000, accuracy = 0.326,avg_train_cost = inf, lastbatch_err = 0.403, time = 87.351,lr=0.00785678
4/23 9:48:11  step===24550, Epoch 1/1000, accuracy = 0.295,avg_train_cost = 0.642, lastbatch_err = 0.386, time = 87.272,lr=0.00785678
