5/27 9:22:9, Epoch 2/1000, step==400-->cur_acc = 0.000, best_step==0-->best_acc = 0.000, lr=0.00200000,batch_cost_avg=23.397
5/27 9:27:34, Epoch 3/1000, step==800-->cur_acc = 0.000, best_step==0-->best_acc = 0.000, lr=0.00200000,batch_cost_avg=23.607
5/27 9:32:59, Epoch 4/1000, step==1200-->cur_acc = 0.000, best_step==0-->best_acc = 0.000, lr=0.00198000,batch_cost_avg=22.973
5/27 9:43:58, Epoch 1/1000, step==1600-->cur_acc = 0.000, best_step==0-->best_acc = 0.000, lr=0.00198000,batch_cost_avg=23.774
5/27 9:49:24, Epoch 2/1000, step==2000-->cur_acc = 0.000, best_step==0-->best_acc = 0.000, lr=0.00196020,batch_cost_avg=23.610
5/27 10:18:54, Epoch 1/1000, step==2400-->cur_acc = 0.000, best_step==0-->best_acc = 0.000, lr=0.00196020,batch_cost_avg=22.619
5/27 10:24:19, Epoch 3/1000, step==2800-->cur_acc = 0.000, best_step==0-->best_acc = 0.000, lr=0.00196020,batch_cost_avg=22.326
5/27 10:29:44, Epoch 4/1000, step==3200-->cur_acc = 0.000, best_step==0-->best_acc = 0.000, lr=0.00194060,batch_cost_avg=22.048
5/27 10:35:9, Epoch 5/1000, step==3600-->cur_acc = 0.008, best_step==3600-->best_acc = 0.008, lr=0.00194060,batch_cost_avg=21.372
5/27 10:40:34, Epoch 6/1000, step==4000-->cur_acc = 0.016, best_step==4000-->best_acc = 0.016, lr=0.00192119,batch_cost_avg=21.230
5/27 10:45:59, Epoch 8/1000, step==4400-->cur_acc = 0.008, best_step==4000-->best_acc = 0.016, lr=0.00192119,batch_cost_avg=22.510
5/27 10:51:24, Epoch 9/1000, step==4800-->cur_acc = 0.020, best_step==4800-->best_acc = 0.020, lr=0.00192119,batch_cost_avg=22.150
5/27 10:56:48, Epoch 10/1000, step==5200-->cur_acc = 0.031, best_step==5200-->best_acc = 0.031, lr=0.00190198,batch_cost_avg=20.552
5/27 11:2:13, Epoch 11/1000, step==5600-->cur_acc = 0.023, best_step==5200-->best_acc = 0.031, lr=0.00190198,batch_cost_avg=21.190
5/27 11:7:39, Epoch 13/1000, step==6000-->cur_acc = 0.020, best_step==5200-->best_acc = 0.031, lr=0.00188296,batch_cost_avg=21.230
5/27 11:13:3, Epoch 14/1000, step==6400-->cur_acc = 0.020, best_step==5200-->best_acc = 0.031, lr=0.00188296,batch_cost_avg=20.821
5/27 11:27:26, Epoch 1/1000, step==6800-->cur_acc = 0.023, best_step==6800-->best_acc = 0.023, lr=0.00037659,batch_cost_avg=19.629
5/27 11:32:51, Epoch 2/1000, step==7200-->cur_acc = 0.023, best_step==6800-->best_acc = 0.023, lr=0.00037283,batch_cost_avg=19.933
5/27 11:38:15, Epoch 3/1000, step==7600-->cur_acc = 0.020, best_step==6800-->best_acc = 0.023, lr=0.00037283,batch_cost_avg=20.245
5/27 11:43:40, Epoch 5/1000, step==8000-->cur_acc = 0.020, best_step==6800-->best_acc = 0.023, lr=0.00036910,batch_cost_avg=20.905
5/27 11:49:5, Epoch 6/1000, step==8400-->cur_acc = 0.023, best_step==6800-->best_acc = 0.023, lr=0.00036910,batch_cost_avg=20.570
5/27 11:54:29, Epoch 7/1000, step==8800-->cur_acc = 0.023, best_step==6800-->best_acc = 0.023, lr=0.00036910,batch_cost_avg=19.479
5/27 11:59:54, Epoch 8/1000, step==9200-->cur_acc = 0.023, best_step==6800-->best_acc = 0.023, lr=0.00036541,batch_cost_avg=19.349
5/27 12:5:18, Epoch 9/1000, step==9600-->cur_acc = 0.020, best_step==6800-->best_acc = 0.023, lr=0.00036541,batch_cost_avg=19.638
5/27 12:10:43, Epoch 11/1000, step==10000-->cur_acc = 0.023, best_step==6800-->best_acc = 0.023, lr=0.00036175,batch_cost_avg=18.960
5/27 12:16:7, Epoch 12/1000, step==10400-->cur_acc = 0.023, best_step==6800-->best_acc = 0.023, lr=0.00036175,batch_cost_avg=18.731
5/27 12:21:32, Epoch 13/1000, step==10800-->cur_acc = 0.027, best_step==10800-->best_acc = 0.027, lr=0.00036175,batch_cost_avg=19.103
5/27 12:26:57, Epoch 14/1000, step==11200-->cur_acc = 0.027, best_step==10800-->best_acc = 0.027, lr=0.00035814,batch_cost_avg=18.291
5/27 12:32:21, Epoch 16/1000, step==11600-->cur_acc = 0.020, best_step==10800-->best_acc = 0.027, lr=0.00035814,batch_cost_avg=19.361
5/27 12:37:45, Epoch 17/1000, step==12000-->cur_acc = 0.027, best_step==10800-->best_acc = 0.027, lr=0.00035455,batch_cost_avg=17.770
5/27 13:25:34, Epoch 1/1000, step==12400-->cur_acc = 0.027, best_step==12400-->best_acc = 0.027, lr=0.00035455,batch_cost_avg=17.434
5/27 13:30:52, Epoch 3/1000, step==12800-->cur_acc = 0.027, best_step==12400-->best_acc = 0.027, lr=0.00035455,batch_cost_avg=19.628
5/27 13:36:8, Epoch 4/1000, step==13200-->cur_acc = 0.027, best_step==12400-->best_acc = 0.027, lr=0.00035101,batch_cost_avg=17.760
5/27 13:41:26, Epoch 5/1000, step==13600-->cur_acc = 0.027, best_step==12400-->best_acc = 0.027, lr=0.00035101,batch_cost_avg=18.604
5/27 13:46:44, Epoch 6/1000, step==14000-->cur_acc = 0.027, best_step==12400-->best_acc = 0.027, lr=0.00034750,batch_cost_avg=18.456
5/27 13:51:59, Epoch 8/1000, step==14400-->cur_acc = 0.027, best_step==12400-->best_acc = 0.027, lr=0.00034750,batch_cost_avg=19.253
5/27 13:57:17, Epoch 9/1000, step==14800-->cur_acc = 0.027, best_step==12400-->best_acc = 0.027, lr=0.00034750,batch_cost_avg=18.038
5/27 14:2:35, Epoch 10/1000, step==15200-->cur_acc = 0.027, best_step==12400-->best_acc = 0.027, lr=0.00034402,batch_cost_avg=17.529
5/27 14:7:51, Epoch 11/1000, step==15600-->cur_acc = 0.031, best_step==15600-->best_acc = 0.031, lr=0.00034402,batch_cost_avg=18.389
5/27 14:13:9, Epoch 13/1000, step==16000-->cur_acc = 0.027, best_step==15600-->best_acc = 0.031, lr=0.00034058,batch_cost_avg=17.904
5/27 14:18:27, Epoch 14/1000, step==16400-->cur_acc = 0.027, best_step==15600-->best_acc = 0.031, lr=0.00034058,batch_cost_avg=15.855
5/27 14:23:43, Epoch 15/1000, step==16800-->cur_acc = 0.031, best_step==15600-->best_acc = 0.031, lr=0.00034058,batch_cost_avg=17.410
5/27 14:29:1, Epoch 16/1000, step==17200-->cur_acc = 0.027, best_step==15600-->best_acc = 0.031, lr=0.00033718,batch_cost_avg=16.320
5/27 14:34:19, Epoch 17/1000, step==17600-->cur_acc = 0.027, best_step==15600-->best_acc = 0.031, lr=0.00033718,batch_cost_avg=17.642
5/27 14:39:35, Epoch 19/1000, step==18000-->cur_acc = 0.031, best_step==15600-->best_acc = 0.031, lr=0.00033381,batch_cost_avg=17.065
5/27 14:44:53, Epoch 20/1000, step==18400-->cur_acc = 0.031, best_step==15600-->best_acc = 0.031, lr=0.00033381,batch_cost_avg=17.915
5/27 14:50:11, Epoch 21/1000, step==18800-->cur_acc = 0.031, best_step==15600-->best_acc = 0.031, lr=0.00033381,batch_cost_avg=16.783
5/27 14:55:27, Epoch 22/1000, step==19200-->cur_acc = 0.031, best_step==15600-->best_acc = 0.031, lr=0.00033047,batch_cost_avg=16.594
5/27 15:0:45, Epoch 24/1000, step==19600-->cur_acc = 0.031, best_step==15600-->best_acc = 0.031, lr=0.00033047,batch_cost_avg=17.160
5/27 15:6:3, Epoch 25/1000, step==20000-->cur_acc = 0.031, best_step==15600-->best_acc = 0.031, lr=0.00032716,batch_cost_avg=17.449
5/27 15:11:18, Epoch 26/1000, step==20400-->cur_acc = 0.031, best_step==15600-->best_acc = 0.031, lr=0.00032716,batch_cost_avg=17.079
5/27 15:16:36, Epoch 27/1000, step==20800-->cur_acc = 0.031, best_step==15600-->best_acc = 0.031, lr=0.00032716,batch_cost_avg=17.060
5/27 15:21:54, Epoch 29/1000, step==21200-->cur_acc = 0.031, best_step==15600-->best_acc = 0.031, lr=0.00032389,batch_cost_avg=16.663
5/27 15:27:9, Epoch 30/1000, step==21600-->cur_acc = 0.031, best_step==15600-->best_acc = 0.031, lr=0.00032389,batch_cost_avg=15.820
5/27 15:32:27, Epoch 31/1000, step==22000-->cur_acc = 0.031, best_step==15600-->best_acc = 0.031, lr=0.00032065,batch_cost_avg=17.101
5/27 15:37:45, Epoch 32/1000, step==22400-->cur_acc = 0.031, best_step==15600-->best_acc = 0.031, lr=0.00032065,batch_cost_avg=16.623
5/27 15:43:1, Epoch 34/1000, step==22800-->cur_acc = 0.031, best_step==15600-->best_acc = 0.031, lr=0.00032065,batch_cost_avg=15.839
5/27 15:48:19, Epoch 35/1000, step==23200-->cur_acc = 0.027, best_step==15600-->best_acc = 0.031, lr=0.00031745,batch_cost_avg=15.554
5/27 15:53:36, Epoch 36/1000, step==23600-->cur_acc = 0.031, best_step==15600-->best_acc = 0.031, lr=0.00031745,batch_cost_avg=16.659
5/27 15:58:52, Epoch 37/1000, step==24000-->cur_acc = 0.031, best_step==15600-->best_acc = 0.031, lr=0.00031427,batch_cost_avg=16.437
